date,milesDriven,gallonsPumped,calculatedMPG,totalPricePaid,pricePerGallon,truckReportedMPG,notes
2025-02-04T15:00:00-07:00,276.4,15.146,18.2490,0,0,0,""
2025-02-10T15:00:00-07:00,355.7,17.565,20.25,0,0,0,""
2025-02-17T15:00:00-07:00,251.3,14.462,17.38,0,0,0,""
2025-02-25T15:00:00-07:00,301.0,14.787,20.36,0,0,0,""
2025-02-28T15:00:00-07:00,289.5,13.359,21.67,0,0,0,""
2025-03-02T15:00:00-07:00,265.6,12.465,21.31,0,0,0,""
2025-03-10T15:00:00-07:00,362.2,18.225,19.87,0,0,0,""
2025-03-15T15:00:00-07:00,292.1,14.212,20.55,0,0,0,""
2025-03-19T15:00:00-07:00,318.4,16.542,19.25,0,0,0,""
2025-03-22T15:00:00-07:00,257.3,14.581,17.65,0,0,0,""
2025-03-29T15:00:00-07:00,301.3,15.266,19.74,0,0,0,""
2025-03-29T17:00:00-07:00,125.2,7.112,17.60,0,0,0,""
2025-04-04T15:00:00-06:00,324.9,17.296,18.78,0,0,0,""
2025-04-10T15:00:00-06:00,281.5,16.476,17.09,0,0,0,""
2025-04-12T15:00:00-06:00,244.1,13.495,18.09,0,0,0,""
2025-04-13T15:00:00-06:00,278.6,16.944,16.44,0,0,0,""
2025-04-18T15:00:00-06:00,322.3,18.229,17.68,0,0,0,""
2025-04-23T15:00:00-06:00,252.2,14.249,17.70,0,0,0,""
2025-04-29T15:00:00-06:00,271.0,16.374,16.55,0,0,0,""
2025-05-05T15:00:00-06:00,291.6,16.820,17.34,0,0,0,""
2025-05-11T15:00:00-06:00,286.3,16.682,17.16,0,0,0,""
2025-05-14T15:00:00-06:00,230.4,11.758,19.60,0,0,0,""
2025-05-23T15:00:00-06:00,293.7,17.069,17.21,0,0,0,""
2025-05-26T15:00:00-06:00,312.6,16.068,19.45,0,0,0,""
2025-05-30T15:00:00-06:00,200.1,9.658,20.72,0,0,0,""
2025-06-03T15:00:00-06:00,317.2,17.536,18.09,0,0,0,""
2025-06-20T15:00:00-06:00,301.1,15.749,19.12,0,0,0,""
2025-06-22T15:00:00-06:00,295.7,17.309,17.08,0,0,0,""
2025-06-27T15:00:00-06:00,256.3,13.665,18.76,0,0,0,""
2025-07-09T15:00:00-06:00,336.9,17.379,19.39,0,0,0,""
2025-07-17T15:00:00-06:00,365.7,17.531,20.86,0,0,0,""
2025-07-24T15:00:00-06:00,345.9,17.309,19.98,0,0,0,""
2025-07-29T15:00:00-06:00,352.1,17.95,19.62,0,0,0,""
2025-08-03T15:00:00-06:00,331.0,17.375,19.05,0,0,0,""
2025-08-14T15:00:00-06:00,352.5,17.619,20.01,0,0,0,""
2025-08-20T15:00:00-06:00,329.5,17.93,18.38,0,0,0,""
2025-08-23T15:00:00-06:00,217.1,11.668,18.61,0,0,0,""
2025-08-27T15:00:00-06:00,339.8,18.03,18.84,0,0,0,""
2025-08-29T15:00:00-06:00,129.3,6.903,18.73,0,0,0,""
2025-09-02T15:00:00-06:00,376.2,17.979,20.92,0,0,0,""
2025-09-06T15:00:00-06:00,253.0,13.754,18.39,0,0,0,""
2025-09-17T15:00:00-06:00,320.8,17.192,18.66,0,0,0,""
2025-09-21T15:00:00-06:00,356.2,18.196,19.58,0,0,20.5,""
2025-09-26T15:00:00-06:00,301.6,16.925,17.82,0,0,18.7,""
2025-10-02T15:00:00-06:00,351.5,17.362,20.25,0,0,20.1,""
2025-10-05T15:00:00-06:00,327.7,18.019,18.19,0,0,0,""
2025-10-09T15:00:00-06:00,359.1,18.675,19.23,0,0,0,""
2025-10-12T15:00:00-06:00,264.0,13.602,19.41,0,0,0,""
2025-10-17T15:00:00-06:00,375.5,18.209,20.62,0,0,0,""
2025-10-27T15:00:00-06:00,315.2,17.158,18.37,0,0,0,""
2025-11-02T15:00:00-07:00,320.1,12.273,26.00,0,0,0,"THIS MUST BE INCORRECT"
2025-11-09T15:00:00-07:00,165.2,14.062,11.75,0,0,0,"THIS MUST BE INCORRECT LOL"
2025-11-23T15:00:00-07:00,349.7,18.353,19.05,0,0,0,""
2025-12-06T15:00:00-07:00,315.4,17.037,18.51,0,0,0,""
2025-12-14T15:00:00-07:00,170.2,10.841,15.70,0,0,0,""
2025-12-21T15:00:00-07:00,232.8,12.747,18.26,0,0,0,""
2025-12-24T15:00:00-07:00,283.0,15.439,18.33,0,0,0,""
2026-01-03T15:00:00-07:00,341.3,17.773,19.20,0,0,0,""
2026-01-11T15:00:00-07:00,274.9,17.098,16.08,0,0,0,""
2026-01-17T15:00:00-07:00,319.7,17.743,18.02,0,0,0,""
2026-01-29T15:00:00-07:00,293.9,16.979,17.31,0,0,0,""
2026-02-05T15:00:00-07:00,305.0,17.755,17.18,0,0,0,""
2026-02-13T15:00:00-07:00,360.0,18.312,19.66,0,0,0,""
2026-02-16T15:00:00-07:00,160.0,8.582,18.64,0,0,0,""
2026-02-19T15:00:00-07:00,305.0,16.409,18.59,0,0,0,""
2026-02-24T15:00:00-07:00,335.1,17.622,19.02,0,0,0,""
2026-03-06T15:00:00-07:00,111.5,7.9,14.11,0,0,0,""
2026-03-10T15:00:00-07:00,349.4,17.861,19.56,0,0,0,""
2026-03-28T15:00:00-06:00,321.6,17.427,18.45,0,0,0,""
